sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2023-12-12_15:43:44_531 CET
© Movella Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
53,2080729514,3.056019,-1.433329,-161.468964,-0.095178,0.013461,0.275816,1.066302,0.588958,-5.855807
54,2080746181,3.100975,-1.420297,-161.555511,-0.096338,-0.010674,0.259431,1.106821,0.526386,-5.802135
55,2080762848,3.146398,-1.409424,-161.642883,-0.079646,-0.003073,0.299718,1.134649,0.390165,-5.847598
56,2080779515,3.190639,-1.400339,-161.729141,-0.074490,-0.003564,0.286319,1.066801,0.282912,-5.773283
57,2080796182,3.233461,-1.390948,-161.817047,-0.025273,0.004190,0.300683,0.979622,0.291652,-5.874004
58,2080812849,3.272183,-1.382366,-161.904251,-0.013553,-0.006274,0.278199,0.735155,0.241893,-5.825558
59,2080829516,3.308019,-1.376380,-161.992645,-0.062598,-0.019811,0.265245,0.561526,0.079009,-5.889692
60,2080846183,3.341691,-1.372548,-162.079346,-0.069649,-0.034991,0.281230,0.434526,-0.047230,-5.781466
61,2080862850,3.372391,-1.371067,-162.166336,-0.024537,-0.012581,0.296126,0.255864,-0.192044,-5.790596
62,2080879517,3.400918,-1.369644,-162.253220,-0.023602,-0.012109,0.312269,0.125432,-0.197871,-5.782925
63,2080896184,3.423707,-1.369772,-162.340179,-0.013977,-0.017476,0.302344,-0.218540,-0.293240,-5.783463
64,2080912851,3.443978,-1.370793,-162.426285,-0.037210,-0.010586,0.308098,-0.368592,-0.345656,-5.729293
65,2080929518,3.462252,-1.374660,-162.510330,-0.076460,-0.033998,0.297234,-0.485566,-0.510179,-5.596887
66,2080946185,3.477222,-1.380521,-162.593338,-0.083986,-0.060282,0.309853,-0.682604,-0.627486,-5.529975
67,2080962852,3.489136,-1.388871,-162.676285,-0.066615,-0.050598,0.299026,-0.866695,-0.777243,-5.512392
68,2080979519,3.498231,-1.398226,-162.758408,-0.016989,-0.052983,0.309179,-1.035470,-0.835102,-5.459232
