sep=,
DeviceTag:,Xsens DOT 1
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2023-12-12_15:43:44_533 CET
© Movella Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
45,2080612845,104.773705,0.605299,-32.216209,-0.004910,-0.010437,0.062830,1.909267,-5.575668,-2.535030
46,2080629512,104.795387,0.651259,-32.298843,0.023815,0.014282,0.052915,1.276940,-5.552526,-2.498647
47,2080646179,104.787758,0.698329,-32.383080,0.031195,0.012810,0.074030,-0.476115,-5.662212,-2.537834
48,2080662846,104.752632,0.745331,-32.466942,0.051050,0.025998,0.059950,-2.121910,-5.640148,-2.541574
49,2080679513,104.727066,0.792085,-32.551502,0.047870,0.012089,0.033538,-1.545022,-5.674956,-2.519829
50,2080696180,104.726372,0.836552,-32.636940,0.072802,0.018679,0.029768,-0.047281,-5.690310,-2.375424
51,2080712847,104.732956,0.882639,-32.723068,0.027610,-0.012194,0.044195,0.394058,-5.755917,-2.458333
52,2080729514,104.730461,0.930219,-32.809792,0.067411,0.026524,0.054189,-0.145715,-5.812365,-2.536018
53,2080746181,104.714127,0.977875,-32.897591,0.100496,0.042311,0.037621,-0.971631,-5.876808,-2.524874
54,2080762848,104.701775,1.024539,-32.985821,0.049528,0.067397,0.048240,-0.727119,-5.885838,-2.462572
55,2080779515,104.703224,1.070315,-33.074562,0.050688,0.047769,0.040960,0.106248,-5.901769,-2.404098
56,2080796182,104.712204,1.112071,-33.163277,-0.002208,0.011832,0.083589,0.561117,-5.839184,-2.170574
57,2080812849,104.711441,1.152240,-33.253239,0.021657,0.011796,0.067718,-0.019043,-5.886568,-2.059210
58,2080829516,104.699112,1.189672,-33.344273,0.034648,0.054448,0.032023,-0.707423,-5.907352,-1.884813
59,2080846183,104.698708,1.222384,-33.434723,0.069350,0.066868,0.030137,0.011596,-5.801111,-1.620413
60,2080862850,104.725609,1.250668,-33.522598,0.035789,0.060564,0.049664,1.648197,-5.584453,-1.401540
61,2080879517,104.757088,1.275956,-33.610130,0.024624,0.034375,0.103318,1.923815,-5.518552,-1.229960
62,2080896184,104.770920,1.298192,-33.696781,0.027039,0.055194,0.096049,0.868021,-5.420109,-1.064438
63,2080912851,104.761154,1.316968,-33.782394,0.048379,0.066049,0.088890,-0.549725,-5.308310,-0.879169
64,2080929518,104.747513,1.332600,-33.866013,0.077228,0.049527,0.048885,-0.782430,-5.144888,-0.728067
65,2080946185,104.751892,1.345299,-33.946556,0.093337,0.071817,0.067846,0.295078,-4.919252,-0.606163
66,2080962852,104.782455,1.355883,-34.023701,0.044712,0.064655,0.054814,1.861563,-4.690697,-0.533717
67,2080979519,104.827248,1.361740,-34.098877,0.014688,0.073915,0.078293,2.713019,-4.502867,-0.286939
68,2080996186,104.851814,1.365496,-34.172855,-0.011982,0.053914,0.089577,1.497415,-4.400582,-0.180698
69,2081012853,104.845261,1.365527,-34.247662,0.006012,0.033047,0.072302,-0.367315,-4.392071,0.049180
70,2081029520,104.840164,1.363009,-34.322460,0.081690,0.048866,0.001036,-0.280267,-4.351880,0.196174
71,2081046187,104.871376,1.355026,-34.392773,0.029324,0.056695,-0.031157,1.889878,-4.007146,0.445142
72,2081062854,104.930038,1.344878,-34.461094,-0.024469,0.060430,0.030189,3.533650,-3.857145,0.542932
73,2081079521,104.993057,1.332909,-34.526276,-0.002361,0.032855,0.061963,3.790508,-3.644995,0.604172
