sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2023-12-12_15:43:44_532 CET
© Movella Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,2079879497,-120.576157,-58.592674,-137.324997,0.299772,0.073471,0.029901,0.474264,2.034730,2.102796
2,2079896164,-120.551750,-58.586441,-137.409714,0.243042,-0.031657,0.096594,-0.420202,0.624009,2.174793
3,2079912831,-120.560394,-58.576046,-137.477509,0.178362,-0.107917,0.329268,-1.537069,0.041204,2.120853
4,2079929498,-120.535561,-58.570717,-137.548416,0.173202,-0.031438,0.328819,0.313788,0.279492,1.907679
5,2079946165,-120.479828,-58.569946,-137.657349,0.292906,0.072802,0.186314,0.222466,1.445177,2.275682
6,2079962832,-120.401985,-58.574841,-137.780487,0.334929,0.187145,0.022758,0.817293,2.001324,2.207224
7,2079979499,-120.343506,-58.584835,-137.899979,0.339874,0.219356,-0.021720,-0.154739,2.060945,1.879390
8,2079996166,-120.323563,-58.591499,-138.013260,0.320227,0.128561,0.061921,-2.145563,1.791551,1.949261
9,2080012833,-120.306816,-58.598347,-138.135284,0.334048,0.048966,0.130457,-2.789928,2.033591,2.077248
10,2080029500,-120.318207,-58.597763,-138.230911,0.318102,-0.008219,0.121585,-3.124916,1.095667,2.044361
11,2080046167,-120.343239,-58.591835,-138.296310,0.314126,0.063774,0.147822,-2.396850,0.117786,1.846247
12,2080062834,-120.363976,-58.583954,-138.345627,0.355890,0.076949,0.090620,-1.315225,-0.376199,1.692276
13,2080079501,-120.394882,-58.570580,-138.403595,0.335457,0.018053,0.168369,-2.369008,-0.309440,2.116038
14,2080096168,-120.476044,-58.551689,-138.407928,0.315759,-0.107337,0.253256,-2.637583,-1.923834,1.551073
15,2080112835,-120.556557,-58.537434,-138.414719,0.331086,-0.085125,0.309288,-2.715356,-1.716576,1.347337
16,2080129502,-120.583878,-58.538902,-138.447906,0.328576,0.019113,0.206234,-0.889094,-0.530362,0.961174
17,2080146169,-120.580147,-58.554337,-138.519180,0.361050,0.036078,0.076779,-0.963050,0.924202,0.841294
18,2080162836,-120.621002,-58.560955,-138.539673,0.315636,-0.014286,0.033947,-1.048072,-0.713813,0.489529
19,2080179503,-120.725960,-58.552219,-138.501053,0.321138,-0.010533,0.138685,-1.865975,-2.776276,0.338568
20,2080196170,-120.819191,-58.547775,-138.503891,0.312356,-0.094239,0.193986,-3.278195,-1.528873,0.776737
