sep=,
DeviceTag:,Dot2_blanc
FirmwareVersion:,2.4.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2023-12-12_15:43:44_523 CET
© Movella Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
46,2080612845,-70.884468,5.913406,-30.146614,0.008718,0.045882,0.122523,-1.843205,3.896774,-3.704634
47,2080629512,-70.904861,5.866850,-30.231230,-0.003712,0.014177,0.139782,-1.281954,3.790840,-3.588186
48,2080646179,-70.897453,5.822257,-30.315231,-0.051597,-0.062018,0.216006,0.378729,3.795296,-3.464412
49,2080662846,-70.860847,5.775480,-30.396938,-0.047391,-0.042070,0.159404,2.113592,3.621258,-3.544401
50,2080679513,-70.834106,5.730267,-30.478811,-0.029863,-0.003413,0.098423,1.518174,3.660241,-3.462095
51,2080696180,-70.833382,5.686272,-30.564278,-0.065147,-0.005155,0.136568,-0.024114,3.884864,-3.464515
52,2080712847,-70.840317,5.643215,-30.651606,-0.031300,0.016649,0.204798,-0.476255,4.010879,-3.447572
53,2080729514,-70.835381,5.597669,-30.737907,-0.049287,-0.015326,0.211901,0.225616,3.902844,-3.568593
54,2080746181,-70.819138,5.550603,-30.822298,-0.076901,-0.041497,0.153473,0.887715,3.766269,-3.618717
55,2080762848,-70.804863,5.505006,-30.908443,-0.035983,-0.058395,0.135982,0.776519,3.892945,-3.571230
56,2080779515,-70.804459,5.461096,-30.997902,-0.017255,-0.019500,0.106954,-0.040276,4.110666,-3.539919
57,2080796182,-70.812523,5.419635,-31.087563,0.014891,0.007056,0.132699,-0.550404,4.171649,-3.405926
58,2080812849,-70.810379,5.381124,-31.178310,-0.014042,-0.027054,0.112816,0.063692,4.293630,-3.259908
59,2080829516,-70.798630,5.344215,-31.268494,-0.019332,-0.025219,0.052397,0.633191,4.291337,-3.158264
60,2080846183,-70.796707,5.311961,-31.359312,0.001844,0.011308,0.037999,0.044944,4.419184,-2.908143
61,2080862850,-70.821457,5.284394,-31.451853,0.018420,0.000537,0.080300,-1.549953,4.610343,-2.675234
62,2080879517,-70.851913,5.258702,-31.544249,0.012519,0.025940,0.128604,-1.894111,4.640221,-2.564062
63,2080896184,-70.864067,5.237192,-31.632597,0.013800,-0.017514,0.093806,-0.822449,4.496752,-2.246439
64,2080912851,-70.854568,5.219233,-31.716560,0.011341,-0.050757,0.077767,0.453415,4.319371,-1.958911
65,2080929518,-70.840012,5.204193,-31.798912,-0.032234,-0.003360,0.099553,0.744593,4.286292,-1.762551
66,2080946185,-70.844116,5.192571,-31.879280,-0.020626,0.055041,0.096919,-0.386111,4.240043,-1.530346
67,2080962852,-70.876556,5.182786,-31.960167,0.024529,0.004497,0.092560,-2.085361,4.306712,-1.435297
68,2080979519,-70.920616,5.175897,-32.040215,-0.001377,-0.034133,0.102180,-2.786431,4.317719,-1.251309
69,2080996186,-70.947266,5.172186,-32.119045,0.018806,-0.039455,0.106557,-1.749578,4.312699,-1.045305
70,2081012853,-70.940529,5.172208,-32.194897,0.015479,-0.012416,0.080127,0.236732,4.217522,-0.774131
71,2081029520,-70.935059,5.174551,-32.267773,-0.029341,0.026762,-0.010237,0.146037,4.093415,-0.584418
72,2081046187,-70.965874,5.183163,-32.343792,0.028111,0.014728,0.011012,-2.013939,4.395632,-0.289872
73,2081062854,-71.024887,5.194863,-32.418976,0.086066,0.081688,0.096334,-3.708719,4.406953,-0.093717
74,2081079521,-71.088188,5.208022,-32.490879,0.072923,0.078656,0.095011,-3.984568,4.252636,0.056841
75,2081096188,-71.126060,5.222660,-32.557911,0.028351,-0.004468,0.111204,-2.484035,4.005430,0.239364
76,2081112855,-71.134354,5.240927,-32.620964,0.041543,0.004551,0.037842,-0.730507,3.851951,0.523563
77,2081129522,-71.140572,5.262481,-32.681644,0.053698,0.019942,0.018675,-0.616344,3.779865,0.757797
78,2081146189,-71.152313,5.286907,-32.741192,0.043376,0.010450,0.084883,-0.953753,3.775908,0.941978
79,2081162856,-71.167099,5.312007,-32.801884,0.036710,0.010027,0.116978,-1.127471,3.851164,0.960258
80,2081179523,-71.180901,5.338548,-32.862316,0.019671,-0.024420,0.102324,-1.070124,3.864898,1.047297
81,2081196190,-71.179695,5.364866,-32.921432,-0.033305,-0.057286,0.105429,-0.174999,3.785141,1.061525
82,2081212857,-71.166267,5.392256,-32.981480,-0.025387,-0.031689,0.058921,0.567213,3.857548,1.104618
83,2081229524,-71.164871,5.420175,-33.045006,0.021637,-0.003519,0.023353,-0.133942,4.064985,1.066660
84,2081246191,-71.192352,5.451380,-33.111671,0.039875,0.086754,0.025799,-1.848020,4.305796,1.193481
85,2081262858,-71.248421,5.482940,-33.179062,0.027743,0.155708,0.078397,-3.556183,4.352988,1.203343
86,2081279525,-71.319824,5.514486,-33.242554,-0.008301,0.144497,0.099005,-4.497514,4.132770,1.281666
87,2081296192,-71.391006,5.544185,-33.305256,-0.003354,0.067630,0.109252,-4.485834,4.049438,1.196939
