sep=,
DeviceTag:,Dot6_blanc
FirmwareVersion:,2.4.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2023-12-12_15:43:44_529 CET
© Movella Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,2079879497,119.330139,-3.454789,-33.912708,0.007171,0.005307,-0.017019,0.648507,-3.376189,1.512564
2,2079896164,119.329086,-3.474886,-33.960117,-0.030457,-0.002000,-0.107342,0.214474,-3.231363,1.701279
3,2079912831,119.304161,-3.496199,-34.005146,0.014865,-0.035258,-0.124321,-1.212851,-3.077212,1.697296
4,2079929498,119.281799,-3.519478,-34.050774,0.022622,-0.036421,-0.169121,-1.060135,-3.042533,1.813853
5,2079946165,119.297859,-3.541708,-34.097263,0.026707,-0.015953,-0.193078,1.240903,-3.122380,1.785340
6,2079962832,119.343842,-3.561645,-34.145447,-0.071237,-0.045134,-0.217355,3.029291,-3.276057,1.714271
7,2079979499,119.386452,-3.580057,-34.195511,-0.005764,-0.068682,-0.244094,2.818735,-3.417618,1.692353
8,2079996166,119.409149,-3.594582,-34.245403,0.000645,-0.041429,-0.175769,1.622545,-3.525498,1.486734
9,2080012833,119.428207,-3.608920,-34.298035,-0.013609,-0.075285,-0.222652,1.395245,-3.670351,1.556874
10,2080029500,119.481194,-3.620312,-34.353428,0.025673,-0.024422,-0.284908,3.417970,-3.901071,1.486350
11,2080046167,119.556793,-3.627287,-34.411770,0.026673,-0.018409,-0.229779,4.764404,-4.181273,1.344430
12,2080062834,119.620407,-3.632768,-34.469479,0.008977,0.026314,-0.198869,4.047723,-4.187881,1.250431
13,2080079501,119.648796,-3.638397,-34.523670,-0.005433,0.035520,-0.198172,1.946098,-3.998950,1.156599
14,2080096168,119.641434,-3.641649,-34.575600,0.031595,-0.020302,-0.215322,-0.190097,-3.951810,0.965785
15,2080112835,119.621384,-3.643551,-34.623978,0.049966,-0.033775,-0.228110,-0.938501,-3.806944,0.789800
16,2080129502,119.614288,-3.643773,-34.673176,-0.011090,-0.003189,-0.274685,-0.163640,-3.901250,0.726690
17,2080146169,119.633896,-3.639461,-34.724293,-0.062422,-0.072779,-0.242532,1.430745,-4.134992,0.546569
18,2080162836,119.661545,-3.634657,-34.777256,-0.090290,-0.092699,-0.175296,1.907372,-4.248199,0.578021
19,2080179503,119.674782,-3.630112,-34.831490,-0.059885,-0.069685,-0.147298,1.037897,-4.302780,0.629771
20,2080196170,119.677635,-3.623249,-34.885441,-0.021159,-0.017777,-0.146243,0.417186,-4.360281,0.500645
21,2080212837,119.671570,-3.619644,-34.938778,-0.046372,0.001076,-0.134737,-0.115129,-4.230731,0.652656
22,2080229504,119.652168,-3.616895,-34.992176,-0.065609,-0.005133,-0.114952,-0.915808,-4.208039,0.699681
23,2080246171,119.611366,-3.615504,-35.047855,-0.056682,-0.026637,-0.114758,-2.207456,-4.289294,0.836376
24,2080262838,119.555618,-3.617799,-35.101669,-0.040215,-0.018182,-0.109772,-3.098631,-4.080666,0.969914
25,2080279505,119.499474,-3.621266,-35.157318,0.019758,0.002422,-0.166634,-3.128284,-4.144801,1.082310
26,2080296172,119.455544,-3.623994,-35.214153,0.026522,0.028922,-0.204388,-2.400909,-4.228311,1.075304
27,2080312839,119.432938,-3.624743,-35.270859,-0.002784,0.000732,-0.224726,-1.119698,-4.282713,0.967104
28,2080329506,119.429878,-3.622441,-35.329403,-0.040633,-0.116343,-0.209103,0.045021,-4.469301,0.861093
29,2080346173,119.421585,-3.616287,-35.392197,-0.084583,-0.154087,-0.254108,-0.283584,-4.804341,0.783832
30,2080362840,119.412254,-3.603679,-35.460018,0.003297,-0.099134,-0.321815,-0.364661,-5.255214,0.593850
31,2080379507,119.402184,-3.585712,-35.529675,0.059561,-0.069016,-0.266295,-0.413914,-5.512827,0.369457
32,2080396174,119.381531,-3.565543,-35.599335,0.025755,-0.022367,-0.250692,-1.047252,-5.578024,0.252292
33,2080412841,119.362144,-3.539188,-35.670876,0.033017,-0.029409,-0.314284,-0.977624,-5.857535,-0.017916
34,2080429508,119.348091,-3.505416,-35.740952,0.066065,-0.045283,-0.300749,-0.649884,-5.999813,-0.450297
35,2080446175,119.335197,-3.464773,-35.810608,0.103767,-0.025795,-0.280721,-0.575095,-6.180218,-0.823384
36,2080462842,119.325836,-3.418807,-35.879341,0.119987,0.021639,-0.288303,-0.357886,-6.287407,-1.129508
37,2080479509,119.310539,-3.369324,-35.948021,0.092853,0.027456,-0.238506,-0.709715,-6.388999,-1.316147
38,2080496176,119.282204,-3.315967,-36.014072,0.064303,0.020477,-0.184779,-1.480325,-6.366038,-1.598335
39,2080512843,119.249466,-3.260611,-36.080959,0.041974,-0.035630,-0.153891,-1.743598,-6.465287,-1.682140
40,2080529510,119.219215,-3.206120,-36.149597,0.005342,-0.058774,-0.099608,-1.595633,-6.534671,-1.586489
41,2080546177,119.187553,-3.152204,-36.220798,-0.058191,-0.097948,-0.123254,-1.686072,-6.648931,-1.486267
42,2080562844,119.157516,-3.099543,-36.298531,-0.007782,-0.103223,-0.182265,-1.604815,-6.955462,-1.231215
43,2080579511,119.156982,-3.046123,-36.378654,0.008052,-0.039965,-0.132139,0.162032,-7.103990,-1.202158
44,2080596178,119.181679,-2.994450,-36.460659,0.018666,-0.027370,-0.036733,1.675333,-7.153628,-1.052721
45,2080612845,119.209930,-2.946190,-36.543705,0.050325,-0.002950,-0.069374,1.887868,-7.105323,-0.843234
46,2080629512,119.229286,-2.898578,-36.626232,0.057520,-0.005064,-0.161036,1.361642,-7.059629,-0.821463
47,2080646179,119.216949,-2.850529,-36.708481,0.075201,-0.023849,-0.111906,-0.535306,-7.059348,-0.851930
48,2080662846,119.178909,-2.803602,-36.789940,0.088906,-0.018647,-0.094748,-2.071440,-6.983188,-0.819555
49,2080679513,119.150551,-2.757438,-36.872177,0.079350,-0.020221,-0.127707,-1.490313,-7.002897,-0.759660
50,2080696180,119.147804,-2.712678,-36.957203,0.112867,-0.033206,-0.105578,0.043522,-7.110918,-0.605638
51,2080712847,119.153290,-2.667213,-37.041725,0.074165,-0.023517,-0.137280,0.542944,-7.105053,-0.657107
52,2080729514,119.145905,-2.620023,-37.127937,0.091573,-0.023915,-0.165697,-0.230502,-7.244451,-0.697024
53,2080746181,119.126106,-2.570302,-37.213867,0.147451,0.027955,-0.136478,-0.969889,-7.297469,-0.842837
54,2080762848,119.110207,-2.521579,-37.298660,0.117725,0.046824,-0.068543,-0.728797,-7.211717,-0.825664
55,2080779515,119.109673,-2.475141,-37.383953,0.040629,-0.024900,-0.067143,0.195892,-7.172747,-0.690762
56,2080796182,119.113869,-2.430633,-37.471874,-0.009901,-0.057467,-0.054087,0.476694,-7.252338,-0.513593
57,2080812849,119.108841,-2.389678,-37.561058,0.037150,-0.020430,-0.022954,-0.076018,-7.217800,-0.288604
58,2080829516,119.095497,-2.350357,-37.650757,0.089704,0.049645,-0.035248,-0.572303,-7.195018,-0.190251
59,2080846183,119.095581,-2.315337,-37.739811,0.107632,0.067271,-0.056432,0.238358,-7.037027,0.015028
60,2080862850,119.120430,-2.282997,-37.829166,0.074857,0.075051,-0.020713,1.725124,-6.973109,0.165119
61,2080879517,119.150017,-2.254333,-37.916935,0.078134,0.038647,0.030373,2.017391,-6.786086,0.316195
62,2080896184,119.161636,-2.230988,-38.003822,0.095569,0.054743,0.010872,0.942848,-6.582964,0.570363
63,2080912851,119.149704,-2.211316,-38.088867,0.118964,0.102042,-0.034407,-0.463974,-6.379202,0.709593
64,2080929518,119.135361,-2.193679,-38.172428,0.165530,0.091745,-0.050487,-0.604127,-6.241099,0.770539
65,2080946185,119.139732,-2.180016,-38.252590,0.157642,0.080873,-0.032557,0.528025,-5.950548,0.879880
66,2080962852,119.171707,-2.167779,-38.331493,0.119005,0.103236,-0.043053,2.187466,-5.839633,0.918907
67,2080979519,119.215302,-2.157028,-38.409550,0.095634,0.071887,-0.034402,2.886212,-5.754009,0.975863
68,2080996186,119.238586,-2.150934,-38.486034,0.029006,0.021208,0.009697,1.671991,-5.530948,1.175463
69,2081012853,119.231895,-2.148470,-38.562061,0.058838,0.024328,-0.042238,-0.124478,-5.401757,1.353279
