PacketCounter;SampleTimeFine;Acc_X;Acc_Y;Acc_Z;Gyr_X;Gyr_Y;Gyr_Z;Quat_W;Quat_X;Quat_Y;Quat_Z
51;3355461630;-7.868704;-0.538516;-6.034925;-0.847947;-1.528489;-2.228574;0.433538;0.010963;0.899564;-0.052046
52;3355478297;-7.742892;-0.988375;-6.106153;-10.762872;-1.093471;-1.802430;0.433929;0.010002;0.899455;-0.050852
53;3355494964;-7.903797;-1.010856;-6.118315;-7.656995;-1.050082;-2.246836;0.434293;0.009177;0.899331;-0.050093
54;3355511631;-7.922287;-1.489005;-6.330996;-0.467240;-0.456892;-2.414932;0.434558;0.008788;0.899196;-0.050285
55;3355528298;-8.171234;-0.660158;-5.881433;7.510779;-0.538507;-2.515834;0.434808;0.008884;0.899003;-0.051538
56;3355544965;-7.260898;-0.041987;-5.534764;9.102428;-0.954355;-1.366809;0.435119;0.009231;0.898769;-0.052918
57;3355561632;-7.805789;-0.024542;-5.322251;2.791932;-1.889282;-0.253707;0.435562;0.009328;0.898526;-0.053383
58;3355578299;-8.139221;-0.938214;-5.857740;8.730827;-2.386720;-0.685767;0.436064;0.009750;0.898203;-0.054633
59;3355594966;-8.084793;-0.330539;-6.279261;9.030946;-2.835724;0.587946;0.436633;0.010355;0.897845;-0.055841
60;3355611633;-8.094821;-0.944513;-6.100620;15.036311;-2.764214;-0.141497;0.437168;0.011254;0.897446;-0.057865
61;3355628300;-7.815857;-0.805365;-5.965620;7.682885;-2.985187;0.529562;0.437742;0.011771;0.897093;-0.058886
62;3355644967;-7.634176;-1.176729;-5.920116;-3.727648;-2.576997;-0.242040;0.438270;0.011465;0.896867;-0.058463
63;3355661634;-7.461053;-1.325709;-5.976747;-10.175508;-2.726947;-0.137720;0.438820;0.010758;0.896688;-0.057196
64;3355678301;-7.418738;-1.517523;-5.835008;-5.667055;-2.310317;-1.199212;0.439289;0.010200;0.896504;-0.056591
65;3355694968;-7.543005;-1.241020;-5.917704;1.217263;-2.653540;-1.286283;0.439783;0.010062;0.896243;-0.056899
