PacketCounter;SampleTimeFine;Acc_X;Acc_Y;Acc_Z;Gyr_X;Gyr_Y;Gyr_Z;Quat_W;Quat_X;Quat_Y;Quat_Z
50;2738159337;-7.013847;-8.342102;0.774850;-39.129875;3.991140;0.891295;0.683937;-0.226458;0.604190;-0.340444
51;2738176004;-6.728524;-9.069517;0.726879;-21.261389;1.973801;-0.818455;0.683135;-0.228700;0.605050;-0.339025
52;2738192671;-6.443074;-7.486964;0.870045;-7.857913;-0.016584;-1.755264;0.682867;-0.229817;0.605052;-0.338806
53;2738209338;-6.260029;-7.347570;1.456333;-23.659250;1.575920;-1.781059;0.681905;-0.232429;0.606017;-0.337234
54;2738226005;-6.737641;-6.439179;0.512403;-32.480507;1.144591;-1.498925;0.680676;-0.235906;0.607387;-0.334828
55;2738242672;-7.057691;-7.599872;0.803795;-25.369541;0.610973;-0.778743;0.679747;-0.238624;0.608410;-0.332926
56;2738259339;-7.019248;-6.998068;1.830875;-7.853573;-3.676947;-2.581569;0.679701;-0.239970;0.608121;-0.332582
57;2738276006;-7.045862;-6.613966;1.615776;-0.550263;-8.799284;-0.144059;0.680486;-0.240608;0.607062;-0.332449
58;2738292673;-6.558386;-7.322616;-0.620790;17.298656;-9.204846;-1.944826;0.681849;-0.239636;0.605045;-0.334033
59;2738309340;-6.427324;-6.030174;-0.074431;50.067768;-11.358607;-0.413418;0.684565;-0.235386;0.601297;-0.338240
60;2738326007;-7.300785;-6.374148;0.283838;31.202616;-8.374117;0.074616;0.686358;-0.232809;0.598801;-0.340810
61;2738342674;-6.862757;-7.489956;1.913778;18.800407;-7.833963;-1.173435;0.687602;-0.231533;0.596954;-0.342407
62;2738359341;-6.313683;-7.507948;1.771866;21.659275;-8.958891;-0.855748;0.689051;-0.229993;0.594858;-0.344175
63;2738376008;-6.140855;-9.071950;2.176536;46.905235;-11.667052;-3.460931;0.691427;-0.226279;0.591122;-0.348285
64;2738392675;-5.365392;-7.542857;1.716187;20.464769;-9.047318;-5.949521;0.692553;-0.225317;0.588880;-0.350462
65;2738409342;-4.681575;-8.361158;2.110408;-16.483931;-3.972777;-7.564270;0.691938;-0.227967;0.588973;-0.349806
66;2738426009;-5.210993;-8.435226;2.408209;-32.556705;-2.605334;-10.319654;0.690512;-0.232421;0.589910;-0.348109
67;2738442676;-5.363665;-9.521590;1.931765;-30.196646;-0.355314;-12.914780;0.688820;-0.236756;0.590841;-0.346960
68;2738459343;-5.394629;-6.383413;1.447849;-2.026146;-1.226734;-15.989345;0.687995;-0.238598;0.590141;-0.348522
69;2738476010;-5.225443;-4.648847;1.365795;10.076025;-1.295094;-12.897120;0.687747;-0.238962;0.588929;-0.350804
70;2738492677;-6.010659;-3.757439;-0.772638;20.974274;-1.339995;-9.886623;0.688038;-0.237959;0.587263;-0.353697
71;2738509344;-5.727804;-5.201241;-0.150807;10.388406;3.238273;-5.780149;0.687770;-0.237407;0.586776;-0.355395
