PacketCounter;SampleTimeFine;Acc_X;Acc_Y;Acc_Z;Gyr_X;Gyr_Y;Gyr_Z;Quat_W;Quat_X;Quat_Y;Quat_Z
1;3338626454;-8.332383;4.333913;-5.769920;33.899773;-17.473173;-19.595980;-0.435051;0.036507;-0.886048;-0.155976
2;3338643121;-8.124967;3.746231;-5.036118;38.693977;-17.467279;-20.303154;-0.437920;0.036326;-0.885726;-0.149692
3;3338659788;-7.854348;3.312995;-4.606363;47.543800;-16.749138;-19.739491;-0.440707;0.035522;-0.885596;-0.142293
4;3338676455;-8.451108;3.403613;-4.562576;51.834332;-16.197752;-19.169500;-0.443403;0.034378;-0.885533;-0.134365
5;3338693122;-9.193087;2.510402;-4.822010;40.705540;-13.974173;-16.270817;-0.445675;0.033621;-0.885359;-0.128040
6;3338709789;-9.224638;2.462421;-4.654309;24.315563;-11.323716;-12.583430;-0.447443;0.033500;-0.885040;-0.124047
7;3338726456;-9.072165;2.007563;-4.866580;12.733809;-8.297269;-7.999226;-0.448677;0.033596;-0.884721;-0.121827
8;3338743123;-9.028924;1.672739;-5.277171;8.289533;-5.084929;-3.068825;-0.449386;0.033406;-0.884552;-0.120485
9;3338759790;-9.072743;1.437850;-5.807917;9.804717;-2.470858;1.322416;-0.449688;0.032597;-0.884599;-0.119222
10;3338776457;-9.275075;1.530834;-6.354450;8.854947;-0.243462;5.260268;-0.449631;0.031382;-0.884792;-0.118328
11;3338793124;-8.875887;1.435055;-6.245081;5.545145;0.772652;7.636602;-0.449385;0.030095;-0.885004;-0.118010
12;3338809791;-8.626650;2.159073;-6.689858;-2.014810;0.735104;7.863887;-0.449107;0.029272;-0.885084;-0.118680
13;3338826458;-8.262950;2.402276;-6.524174;-2.245684;0.627812;7.460232;-0.448847;0.028514;-0.885149;-0.119354
14;3338843125;-8.159242;2.103166;-6.516041;2.063378;-0.038355;5.872653;-0.448719;0.027668;-0.885239;-0.119371
15;3338859792;-7.942356;2.425726;-6.689083;3.256175;-0.945506;3.789316;-0.448748;0.026996;-0.885281;-0.119103
16;3338876459;-8.245316;2.577680;-6.982267;0.503923;-1.840016;1.126850;-0.448927;0.026831;-0.885207;-0.119019
17;3338893126;-8.616192;2.090219;-6.394105;1.769703;-1.734530;-0.735341;-0.449129;0.026825;-0.885154;-0.118650
18;3338909793;-8.429176;2.318304;-6.361344;5.625400;-1.355309;-2.106734;-0.449321;0.026750;-0.885186;-0.117694
19;3338926460;-8.420977;2.188215;-5.890472;6.524560;-0.950974;-3.190920;-0.449483;0.026762;-0.885255;-0.116549
20;3338943127;-8.076361;2.040729;-5.726725;4.049842;-0.064915;-3.263456;-0.449521;0.026961;-0.885339;-0.115715
21;3338959794;-8.005456;2.112004;-5.441023;7.426846;0.658983;-3.315078;-0.449480;0.026958;-0.885526;-0.114440
22;3338976461;-8.090124;2.244738;-5.277670;11.779665;0.989720;-3.479666;-0.449415;0.026697;-0.885804;-0.112592
23;3338993128;-8.329949;2.462613;-5.543295;12.571996;1.043315;-4.221642;-0.449357;0.026480;-0.886092;-0.110592
24;3339009795;-8.123450;2.678427;-5.342149;17.091661;1.106271;-5.456164;-0.449325;0.026129;-0.886447;-0.107929
25;3339026462;-7.537612;2.402733;-5.063312;22.115372;1.260948;-6.416365;-0.449303;0.025574;-0.886878;-0.104555
26;3339043129;-7.186089;2.487505;-4.899981;23.206171;1.386950;-6.551691;-0.449266;0.024968;-0.887323;-0.101029
27;3339059796;-7.442697;1.872748;-4.798285;22.845711;1.502258;-6.992678;-0.449213;0.024444;-0.887757;-0.097519
28;3339076463;-7.927213;1.775379;-4.744387;25.707451;1.939981;-7.805030;-0.449119;0.023843;-0.888244;-0.093585
29;3339093130;-7.655180;1.838368;-5.295531;23.819498;2.380917;-8.674259;-0.448966;0.023485;-0.888718;-0.089834
30;3339109797;-7.604132;1.404572;-4.956204;23.075100;2.641642;-9.172145;-0.448777;0.023242;-0.889185;-0.086146
31;3339126464;-7.144748;0.668852;-5.245013;24.503479;2.807651;-8.944770;-0.448563;0.022878;-0.889668;-0.082286
32;3339143131;-7.219159;0.850498;-5.130352;27.117924;2.573834;-8.545547;-0.448375;0.022289;-0.890153;-0.078112
33;3339159798;-7.225145;0.744845;-5.557526;27.050528;2.228920;-8.361034;-0.448222;0.021676;-0.890600;-0.073959
34;3339176465;-7.584215;1.120432;-5.514262;21.358526;2.277658;-8.599236;-0.448040;0.021464;-0.890975;-0.070527
35;3339193132;-7.876214;0.883135;-6.174965;18.460032;2.344648;-9.420482;-0.447844;0.021549;-0.891313;-0.067416
36;3339209799;-7.950013;1.250864;-5.932408;19.947252;2.262329;-10.536020;-0.447670;0.021680;-0.891646;-0.064038
37;3339226466;-7.779310;0.972577;-5.815676;22.132614;1.958626;-11.309580;-0.447543;0.021766;-0.891966;-0.060327
38;3339243133;-7.773559;1.181326;-5.580807;25.865469;1.550975;-11.489720;-0.447476;0.021628;-0.892278;-0.056121
39;3339259800;-7.814950;0.971698;-5.821743;24.373014;1.289520;-11.406147;-0.447430;0.021575;-0.892545;-0.052113
40;3339276467;-8.065315;0.722858;-6.001060;28.605913;0.876258;-10.888507;-0.447438;0.021175;-0.892803;-0.047591
41;3339293134;-8.412827;0.722949;-5.738940;28.713501;0.676991;-10.267282;-0.447459;0.020685;-0.893033;-0.043094
42;3339309801;-7.870348;0.447586;-5.643730;20.339352;0.685544;-9.350660;-0.447441;0.020621;-0.893198;-0.039744
43;3339326468;-8.184557;0.155352;-5.875850;10.399844;0.820625;-7.929478;-0.447365;0.021020;-0.893313;-0.037777
44;3339343135;-8.016414;0.342294;-5.652879;-0.792393;0.733836;-6.256389;-0.447255;0.021929;-0.893363;-0.037373
45;3339359802;-8.017600;0.244988;-5.665091;-7.311314;0.815092;-4.388226;-0.447103;0.023020;-0.893388;-0.037937
46;3339376469;-7.914947;0.414381;-5.628638;-5.549466;0.881199;-2.957076;-0.446940;0.023810;-0.893430;-0.038365
47;3339393136;-7.839770;0.547265;-5.534496;2.661563;1.147314;-2.023467;-0.446765;0.023947;-0.893539;-0.037786
48;3339409803;-7.860144;0.195475;-5.565217;10.163706;1.153026;-1.153712;-0.446611;0.023484;-0.893690;-0.036288
49;3339426470;-8.026265;0.320261;-5.903156;8.087358;0.839245;0.053806;-0.446483;0.022996;-0.893813;-0.035140
50;3339443137;-7.856227;0.247122;-6.090238;1.983249;0.268159;0.924279;-0.446404;0.022789;-0.893869;-0.034843
51;3339459804;-7.601837;0.318565;-5.908396;-2.661723;-0.375661;0.988618;-0.446393;0.022872;-0.893860;-0.035157
52;3339476471;-7.651718;0.403742;-5.817043;-3.108536;-1.081547;0.591506;-0.446474;0.023031;-0.893802;-0.035505
53;3339493138;-7.790546;0.711085;-5.537473;-2.463737;-1.103293;0.034366;-0.446563;0.023222;-0.893744;-0.035734
54;3339509805;-7.913003;0.850954;-5.753169;-1.039133;-0.625705;-0.260494;-0.446596;0.023360;-0.893722;-0.035756
55;3339526472;-7.828099;0.975595;-6.137259;-6.213181;-0.363841;-0.527020;-0.446579;0.023870;-0.893690;-0.036433
56;3339543139;-7.842507;0.442771;-5.734142;-11.216010;-0.433546;-0.614539;-0.446553;0.024717;-0.893625;-0.037755
57;3339559806;-7.975900;0.082634;-5.369313;-6.798469;0.063667;-0.554707;-0.446477;0.025271;-0.893615;-0.038505
58;3339576473;-7.926046;0.193265;-5.336144;2.787142;1.220977;-0.573225;-0.446287;0.025212;-0.893734;-0.038003
59;3339593140;-8.229827;0.082613;-6.218420;11.029850;0.906158;0.162276;-0.446162;0.024521;-0.893879;-0.036479
60;3339609807;-7.268863;0.957815;-6.042180;2.319992;-0.223829;0.803963;-0.446150;0.024305;-0.893905;-0.036132
61;3339626474;-8.140435;0.744652;-5.639051;3.412604;-1.279137;0.853370;-0.446278;0.024006;-0.893868;-0.035651
62;3339643141;-8.134676;0.381859;-6.117094;9.137916;-1.906482;1.158636;-0.446506;0.023292;-0.893821;-0.034447
63;3339659808;-8.206141;0.789124;-5.757730;10.093948;-1.802417;1.487721;-0.446720;0.022474;-0.893784;-0.033140
64;3339676475;-8.018543;0.666681;-6.350117;13.465162;-1.945798;1.288557;-0.446964;0.021463;-0.893750;-0.031382
65;3339693142;-7.781383;0.904815;-6.194914;2.102758;-2.287573;0.958908;-0.447217;0.021231;-0.893639;-0.031081
66;3339709809;-7.571089;0.261147;-6.152802;-9.117331;-2.333997;0.698273;-0.447443;0.021763;-0.893474;-0.032222
67;3339726476;-7.401448;0.349642;-5.396309;-10.069931;-1.987405;0.690960;-0.447619;0.022358;-0.893324;-0.033485
68;3339743143;-7.495092;0.188700;-5.554910;-3.420435;-1.560018;0.393341;-0.447763;0.022562;-0.893233;-0.033863
69;3339759810;-7.632758;0.322354;-5.482980;3.019936;-1.416459;-0.025830;-0.447911;0.022401;-0.893181;-0.033376
70;3339776477;-7.758588;-0.066257;-5.675006;5.217916;-1.341311;0.168871;-0.448055;0.022073;-0.893145;-0.032616
71;3339793144;-7.859870;-0.028680;-5.477618;3.745877;-1.073915;0.665860;-0.448157;0.021776;-0.893120;-0.032079
72;3339809811;-7.807305;0.045205;-5.537799;0.537463;-0.386163;1.510041;-0.448156;0.021583;-0.893128;-0.032011
73;3339826478;-7.778328;0.255813;-5.551114;5.482354;0.254891;1.732270;-0.448086;0.021041;-0.893201;-0.031314
74;3339843145;-7.688842;0.396049;-5.719425;13.839120;0.128621;1.224012;-0.448059;0.020020;-0.893300;-0.029497
75;3339859812;-7.986416;0.329286;-6.096802;21.573757;-0.544219;0.276393;-0.448142;0.018615;-0.893378;-0.026616
76;3339876479;-7.507174;0.642181;-5.599976;18.723969;-0.695847;0.058205;-0.448235;0.017423;-0.893428;-0.024091
77;3339893146;-7.943940;0.205872;-5.802754;-0.379017;-0.139807;0.118593;-0.448205;0.017471;-0.893443;-0.024051
78;3339909813;-7.892592;0.083139;-6.036847;-5.289394;0.413575;0.165516;-0.448090;0.017834;-0.893477;-0.024651
79;3339926480;-7.717034;0.416461;-5.731956;-7.557259;0.878573;0.216587;-0.447908;0.018341;-0.893533;-0.025547
80;3339943147;-7.493797;0.273511;-5.745345;-5.427754;1.032480;-0.104948;-0.447713;0.018751;-0.893605;-0.026146
81;3339959814;-7.622486;0.491267;-5.503110;-1.970219;1.017100;-0.709331;-0.447531;0.019014;-0.893687;-0.026255
82;3339976481;-7.804150;0.491347;-5.759473;-3.138093;0.621409;-0.756138;-0.447398;0.019358;-0.893739;-0.026515
83;3339993148;-8.016016;0.575718;-5.661726;-4.447377;0.444105;-0.407268;-0.447283;0.019740;-0.893775;-0.026968
84;3340009815;-8.075000;0.366283;-5.563514;-3.781497;0.412640;0.086539;-0.447172;0.020016;-0.893812;-0.027366
85;3340026482;-8.147508;0.488808;-5.657899;-1.743264;0.577073;0.458166;-0.447043;0.020111;-0.893869;-0.027524
86;3340043149;-7.976831;0.546575;-5.774219;-2.681432;0.535786;0.718955;-0.446917;0.020233;-0.893921;-0.027820
87;3340059816;-7.842447;0.724238;-5.848947;-3.210360;0.248590;0.780387;-0.446826;0.020381;-0.893951;-0.028191
88;3340076483;-7.920703;0.806124;-5.966023;-2.035710;-0.230770;0.737819;-0.446800;0.020455;-0.893955;-0.028407
89;3340093150;-7.960239;0.691856;-5.878214;2.186857;-0.683321;0.830281;-0.446846;0.020242;-0.893947;-0.028082
90;3340109817;-7.878182;0.574152;-5.707602;5.625452;-0.887352;1.032454;-0.446928;0.019777;-0.893941;-0.027324
91;3340126484;-7.609493;0.324443;-5.507618;6.868310;-0.756382;1.101276;-0.446995;0.019224;-0.893947;-0.026408
92;3340143151;-7.564129;0.276034;-5.447839;4.757604;-0.591781;0.985711;-0.447035;0.018823;-0.893954;-0.025758
93;3340159818;-7.666938;0.070425;-5.557627;7.302739;-0.530567;0.910999;-0.447074;0.018267;-0.893974;-0.024773
94;3340176485;-7.562127;0.420076;-5.681502;5.464220;-0.511306;1.393491;-0.447103;0.017767;-0.893989;-0.024058
95;3340193152;-7.590979;0.074241;-5.627244;4.808663;-0.573763;1.653191;-0.447138;0.017276;-0.893997;-0.023446
96;3340209819;-7.519525;0.376740;-5.598173;3.667105;-0.654238;2.038815;-0.447179;0.016809;-0.893997;-0.023007
