sep=,
DeviceTag:,Dot2_blanc
FirmwareVersion:,2.4.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2023-11-17_10:45:32_044 CET
© Movella Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
48,2722097457,-5.440091,-7.316210,3.975064,-37.093777,4.756053,8.948566,0.187095,0.254120,0.601816,-0.733653,
49,2722114124,-5.955436,-6.522871,1.654299,-51.111435,4.516222,7.558270,0.189275,0.253838,0.607073,-0.728844,
50,2722130791,-5.804496,-6.563519,1.598600,-27.582766,5.272498,6.949136,0.190448,0.254222,0.609858,-0.726075,
51,2722147458,-5.724889,-6.643407,1.775127,-20.793333,5.567294,4.791190,0.191113,0.254630,0.612005,-0.723948,
52,2722164125,-5.829788,-6.794933,1.361977,-23.438177,6.204952,4.024755,0.191738,0.254960,0.614469,-0.721575,
53,2722180792,-5.895073,-7.426634,1.318926,-46.630684,3.769328,3.136600,0.193341,0.254302,0.619315,-0.717224,
54,2722197459,-6.160823,-8.255136,0.219575,-57.600891,3.995865,3.638358,0.195370,0.253389,0.625257,-0.711821,
55,2722214126,-6.516398,-6.398645,-1.569477,-43.622406,2.829818,2.789171,0.196892,0.252662,0.629717,-0.707717,
56,2722230793,-6.024392,-7.145690,-1.169012,-24.895752,0.953710,0.572349,0.197664,0.252069,0.632260,-0.705442,
57,2722247460,-5.991320,-7.494326,-0.318557,-8.375111,0.340258,0.131886,0.197841,0.251846,0.633103,-0.704716,
58,2722264127,-5.621970,-8.183729,1.730816,-21.805151,-0.320121,-0.222741,0.198532,0.251135,0.635313,-0.702783,
59,2722280794,-6.106051,-7.971395,0.075888,-33.486958,0.992848,1.241626,0.199676,0.250352,0.638691,-0.699670,
