PacketCounter;SampleTimeFine;Acc_X;Acc_Y;Acc_Z;Gyr_X;Gyr_Y;Gyr_Z;Quat_W;Quat_X;Quat_Y;Quat_Z
45;988929461;0.803238;-8.463167;3.385814;10.960224;-1.470989;-3.883579;-0.504303;0.313704;0.453162;-0.664767
46;988946128;0.851450;-8.209764;4.766177;-0.348602;-1.689631;-4.637038;-0.504777;0.313181;0.453518;-0.664411
47;988962795;1.047473;-8.570985;4.862998;-2.174134;-1.152315;-5.026454;-0.505242;0.312816;0.454027;-0.663882
48;988979462;0.964406;-8.301464;4.360084;-2.272717;-1.024431;-5.821563;-0.505789;0.312416;0.454571;-0.663282
49;988996129;0.965583;-8.377279;4.007330;0.120348;-1.024636;-6.158177;-0.506476;0.311816;0.454898;-0.662815
50;989012796;0.847779;-8.820528;3.986618;5.796726;-0.999702;-6.333165;-0.507440;0.310787;0.454684;-0.662708
51;989029463;0.551665;-9.344534;3.719171;11.779652;-1.063363;-6.159640;-0.508651;0.309321;0.453889;-0.663010
52;989046130;0.289195;-8.836078;3.965897;4.167015;-1.556753;-5.565423;-0.509429;0.308409;0.453837;-0.662874
53;989062797;0.290528;-9.415711;4.288877;-5.493362;-1.844985;-5.596978;-0.509756;0.308183;0.454738;-0.662109
54;989079464;0.176737;-9.444332;4.345311;-8.560087;-1.337163;-4.569947;-0.509879;0.308302;0.455850;-0.661194
55;989096131;0.240816;-8.816082;3.661021;-7.682890;-1.564219;-4.278026;-0.509997;0.308353;0.456879;-0.660368
56;989112798;0.522772;-9.399272;3.610867;-7.742733;-1.782273;-3.665818;-0.510038;0.308429;0.457902;-0.659592
57;989129465;0.602882;-9.048439;3.719612;-1.121798;-1.752255;-3.307919;-0.510342;0.308041;0.458272;-0.659281
58;989146132;0.553375;-9.417224;3.819356;-2.745349;-1.462216;-2.560566;-0.510520;0.307851;0.458743;-0.658904
59;989162799;0.407221;-9.009506;4.044553;-3.359259;-1.383201;-2.009700;-0.510623;0.307752;0.459242;-0.658523
60;989179466;0.453340;-8.949035;4.454062;-1.982051;-1.274706;-2.159394;-0.510809;0.307551;0.459607;-0.658218
61;989196133;0.397109;-8.637730;4.036056;-4.016955;-1.075029;-1.928572;-0.510895;0.307535;0.460141;-0.657785
62;989212800;0.464044;-9.140322;3.893681;-2.536899;-1.411298;-2.410308;-0.511070;0.307346;0.460579;-0.657431
63;989229467;0.640031;-9.311867;3.576358;-5.050697;-1.884980;-1.724721;-0.511035;0.307344;0.461262;-0.656981
64;989246134;0.795646;-9.361787;3.691231;-7.461608;-2.333676;-2.036223;-0.510891;0.307458;0.462222;-0.656364
65;989262801;0.923236;-10.066274;4.116748;-4.996449;-2.259860;-1.420109;-0.510803;0.307438;0.462914;-0.655954
66;989279468;1.014709;-9.980233;4.185577;-4.083099;-1.724797;-0.676982;-0.510720;0.307450;0.463447;-0.655637
67;989296135;1.076209;-9.823877;4.055131;0.370251;-1.227489;-0.153535;-0.510820;0.307215;0.463494;-0.655636
68;989312802;0.991819;-9.638524;4.316280;8.512632;-0.756843;-0.033834;-0.511304;0.306427;0.462725;-0.656171
69;989329469;1.055401;-9.677758;4.079672;14.402825;-0.207546;0.172707;-0.512066;0.305265;0.461342;-0.657091
70;989346136;1.147655;-10.117586;3.937552;9.677275;-0.312155;1.041502;-0.512526;0.304503;0.460379;-0.657761
71;989362803;1.243976;-10.444764;4.445325;2.764705;-0.170952;2.110928;-0.512587;0.304341;0.460020;-0.658040
72;989379470;1.118923;-10.681147;4.647047;2.827649;0.573680;3.639188;-0.512554;0.304347;0.459532;-0.658403
73;989396137;0.983344;-10.551500;4.661280;7.395944;1.376151;5.090007;-0.512638;0.304186;0.458482;-0.659143
74;989412804;0.815855;-10.105439;3.997000;5.396628;1.977717;6.220256;-0.512564;0.304307;0.457529;-0.659807
75;989429471;0.549082;-9.939496;4.162683;4.487839;2.059806;7.150101;-0.512365;0.304565;0.456616;-0.660475
76;989446138;0.440054;-9.543494;3.718742;2.044464;2.087531;8.265661;-0.511951;0.305082;0.455885;-0.661062
77;989462805;0.276315;-9.122463;3.481301;-7.904979;1.703085;8.928752;-0.511005;0.306348;0.456110;-0.661053
78;989479472;0.268869;-8.916608;3.570539;-12.301559;1.543800;9.312778;-0.509813;0.307950;0.456751;-0.660786
79;989496139;0.251072;-9.184427;4.255054;-0.319954;1.345058;9.485288;-0.509126;0.308656;0.456246;-0.661335
80;989512806;0.198956;-8.656258;4.165669;16.031347;1.882606;9.473668;-0.509207;0.308202;0.454127;-0.662942
81;989529473;0.213690;-8.486824;3.468547;14.746753;1.424215;9.085149;-0.509234;0.307770;0.452179;-0.664451
82;989546140;0.230126;-8.471206;3.986644;6.429014;0.888089;8.811893;-0.508877;0.307885;0.451086;-0.665414
83;989562807;0.368601;-8.321886;4.084605;-8.131446;0.336878;8.505091;-0.507860;0.309003;0.451454;-0.665423
84;989579474;0.528391;-8.850000;4.344652;-10.857756;0.002849;8.326059;-0.506715;0.310278;0.452117;-0.665252
85;989596141;0.386356;-8.290080;4.073651;-6.928916;0.157435;8.092086;-0.505779;0.311261;0.452398;-0.665315
86;989612808;0.029229;-8.022532;3.708993;-6.651736;0.551538;7.100605;-0.504976;0.312196;0.452667;-0.665304
87;989629475;-0.031944;-7.940200;3.839142;7.540145;1.065149;5.982981;-0.504958;0.312065;0.451574;-0.666121
88;989646142;-0.125181;-7.767710;3.601843;4.902547;0.812685;5.160825;-0.504883;0.312049;0.450791;-0.666715
89;989662809;0.060956;-7.762292;4.040524;-12.047772;-0.209320;4.985431;-0.503987;0.313167;0.451734;-0.666231
90;989679476;0.176108;-8.367175;4.206659;-28.234217;-1.048152;4.642847;-0.502327;0.315364;0.454316;-0.664690
91;989696143;0.559981;-8.939706;3.592473;-44.163692;-1.310637;4.832158;-0.499886;0.318704;0.458436;-0.662104
92;989712810;0.522387;-10.375106;3.469487;-47.971977;-2.154827;4.994075;-0.497175;0.322236;0.462956;-0.659285
93;989729477;0.372514;-10.233428;3.950303;-5.923770;-1.673816;5.260164;-0.496429;0.322784;0.463386;-0.659276
94;989746144;0.259515;-8.988497;3.206940;-2.971073;-1.318747;5.256130;-0.495845;0.323152;0.463508;-0.659450
95;989762811;-0.039025;-9.048308;3.311558;-4.297838;-1.197842;5.244477;-0.495207;0.323627;0.463749;-0.659527
96;989779478;0.283372;-9.346913;3.722832;-13.163490;-1.559494;6.114787;-0.494043;0.324764;0.464825;-0.659083
97;989796145;0.529840;-9.290090;3.854163;-4.822898;-1.364056;6.017289;-0.493293;0.325314;0.465090;-0.659186
98;989812812;1.027291;-9.597458;4.319839;1.239072;-1.151893;6.371243;-0.492811;0.325473;0.464742;-0.659714
99;989829479;1.541207;-10.611093;4.539192;13.770762;0.162250;6.156254;-0.493031;0.324842;0.463106;-0.661010
100;989846146;1.789572;-10.569735;4.691422;28.933344;1.597975;7.514694;-0.493928;0.323348;0.459841;-0.663348
101;989862813;1.886428;-8.394856;4.588465;27.468889;4.517012;8.162888;-0.494882;0.322276;0.456468;-0.665484
102;989879480;2.845184;-9.694167;3.240998;6.161258;5.133421;7.230013;-0.494965;0.322730;0.455154;-0.666103
103;989896147;2.124319;-9.411013;3.546032;16.203606;5.324265;8.563917;-0.495401;0.322564;0.452791;-0.667469
104;989912814;2.227355;-9.078006;4.725048;9.935331;7.013203;6.479459;-0.495856;0.322872;0.451011;-0.668186
105;989929481;0.290246;-8.831832;3.544839;0.573962;8.892586;6.564250;-0.495986;0.324039;0.450002;-0.668205
106;989946148;0.230416;-10.613673;3.234107;-4.927194;8.610269;5.584307;-0.495932;0.325512;0.449593;-0.667805
107;989962815;0.141674;-9.902565;3.581167;9.916241;8.058805;6.250176;-0.496477;0.325903;0.447750;-0.668446
108;989979482;-1.413217;-7.958497;4.325847;2.621416;8.491887;4.413678;-0.496881;0.326744;0.446672;-0.668457
109;989996149;-2.278126;-8.461989;3.720203;-21.518751;6.997242;3.246050;-0.496151;0.329107;0.448098;-0.666883
110;990012816;-2.277499;-8.301884;3.320149;-25.134029;4.120856;1.289314;-0.495242;0.331324;0.450170;-0.665064
111;990029483;-1.857346;-7.693102;3.209909;-28.586826;2.152722;-1.654879;-0.494313;0.333404;0.452850;-0.662893
