sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2023-12-12_15:44:41_805 CET
© Movella Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
53,2138030660,-2.947128,-1.652029,66.092659,0.111042,-0.226171,0.393606,1.576139,-4.949039,26.975847
54,2138047327,-2.913381,-1.710568,66.546318,0.095473,-0.184964,0.358952,1.345227,-4.868448,26.416561
55,2138063994,-2.884240,-1.768088,66.992439,0.053411,-0.192456,0.263606,1.083170,-4.770057,25.968903
56,2138080661,-2.858665,-1.822966,67.431908,-0.001696,-0.204660,0.254933,0.882673,-4.578960,25.575731
57,2138097328,-2.835445,-1.874746,67.865463,0.035917,-0.138371,0.291288,0.754853,-4.365119,25.241791
58,2138113995,-2.815948,-1.923985,68.292778,-0.048504,-0.130751,0.243571,0.542011,-4.184638,24.871964
59,2138130662,-2.797052,-1.962445,68.700996,4.022857,-2.134433,0.882608,0.486828,-3.474228,23.760544
60,2138147329,-2.710215,-2.090180,68.821388,9.253747,0.108551,2.060753,3.992989,-7.975708,6.268141
61,2138163996,-2.488449,-2.172737,68.873825,-0.593936,1.678539,-0.664443,11.961540,-5.065401,2.342993
62,2138180663,-2.372591,-2.242916,68.996460,-2.921626,-1.997775,1.345545,5.772598,-4.490612,6.588824
63,2138197330,-2.275645,-2.341168,69.096062,0.351379,0.971430,-1.174856,4.590034,-6.106876,5.150197
64,2138213997,-2.181706,-2.372578,69.224518,1.434234,-0.530642,-0.263684,4.487775,-2.155886,7.044000
65,2138230664,-2.085905,-2.433830,69.325050,-0.666769,-0.200143,0.609894,4.537604,-3.871207,5.310570
66,2138247331,-2.003415,-2.490070,69.407753,0.268712,0.644706,-0.260124,3.697981,-3.523347,4.256888
67,2138263998,-1.978817,-2.506224,69.505196,0.625265,-1.080348,0.360235,0.266660,-1.145246,5.230607
68,2138280665,-1.952050,-2.526354,69.534172,1.253652,-0.611576,-0.382001,0.218969,-1.241819,1.116707
69,2138297332,-1.912100,-2.538672,69.552811,-0.459247,0.930116,-0.230919,0.984354,-0.752079,0.515155
70,2138313999,-1.890545,-2.526758,69.568634,0.784950,-0.939640,-0.271370,-0.127039,0.707954,0.395556
71,2138330666,-1.869892,-2.514518,69.576218,0.163867,0.041910,-0.022552,-0.202404,0.743018,-0.099621
72,2138347333,-1.862403,-2.479941,69.581467,0.135321,0.069639,-0.427008,-0.998383,2.087301,-0.195963
73,2138364000,-1.862547,-2.447875,69.573334,0.698863,-0.370155,0.204206,-1.491005,1.963066,-1.004466
74,2138380667,-1.875985,-2.414446,69.552071,0.651901,-0.355264,0.451171,-2.320741,2.069859,-1.785833
75,2138397334,-1.900435,-2.366251,69.523621,-0.558366,-0.370427,0.122789,-2.997941,2.969159,-2.184674
76,2138414001,-1.926559,-2.328298,69.485260,0.422902,-0.314675,0.221100,-3.122214,2.375469,-2.797855
77,2138430668,-1.959980,-2.287999,69.448288,-0.120668,0.000883,0.038532,-3.554698,2.514085,-2.711886
78,2138447335,-2.010148,-2.229240,69.415138,-0.415175,-0.358946,-0.088649,-4.548509,3.614317,-2.443734
79,2138464002,-2.077995,-2.183149,69.387177,-0.081004,-0.060125,-0.098729,-5.596107,2.845398,-2.153977
