sep=,
DeviceTag:,Xsens DOT 1
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2023-12-12_15:44:41_808 CET
© Movella Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
46,2137897324,161.609589,-41.735100,147.087631,-0.291885,0.465067,0.900986,59.034767,-2.489880,-7.967865
47,2137913991,162.567993,-41.686127,147.235214,-0.356870,0.449458,1.293599,63.292747,-0.853107,-8.329535
48,2137930658,163.638443,-41.649601,147.395218,-0.404751,0.456867,1.304884,70.505943,-0.105027,-8.634425
49,2137947325,164.768600,-41.618740,147.575378,-0.138748,0.636874,0.758281,74.889061,0.321984,-9.412484
50,2137963992,165.910797,-41.594498,147.801483,0.372850,0.234823,0.446705,77.438065,1.059652,-11.312924
51,2137980659,167.067856,-41.576714,148.074234,0.357564,-0.368085,-0.039497,80.186234,1.722898,-13.279777
52,2137997326,168.263016,-41.565052,148.389450,0.266158,-0.358673,-0.210706,84.158302,2.240676,-15.099730
53,2138013993,169.434982,-41.557503,148.735123,0.001426,-0.344403,-0.163892,83.977615,2.460964,-16.440462
54,2138030660,170.473160,-41.554138,149.110580,-0.106283,-0.196223,-0.242465,77.132782,2.645869,-17.760571
55,2138047327,171.231415,-41.549637,149.517502,0.030629,-0.247503,-0.354856,61.588856,2.541976,-19.209229
56,2138063994,171.681488,-41.542934,149.955536,0.355969,-0.218303,-0.714057,44.333565,2.428713,-20.636377
57,2138080661,171.867783,-41.523468,150.417343,0.142833,-0.178793,-0.952058,29.449755,1.718114,-21.821381
58,2138097328,171.852066,-41.489754,150.888092,-0.018467,0.027458,-0.651298,17.675278,0.899358,-22.349077
59,2138113995,171.662613,-41.439030,151.353012,-0.344443,-0.006680,-0.467446,7.005131,-0.107881,-22.249794
60,2138130662,171.343948,-41.375561,151.809067,-0.148474,0.111971,-0.151423,-1.121889,-0.828188,-21.985031
61,2138147329,170.899780,-41.304352,152.251068,-0.350596,0.383610,-0.216372,-9.231194,-1.243499,-21.458374
62,2138163996,170.356766,-41.216766,152.676712,0.012905,0.757812,0.048254,-15.837255,-2.156390,-20.922398
63,2138180663,169.848694,-41.112598,153.066833,-0.682347,0.519232,-0.201216,-15.172239,-3.227194,-19.556681
64,2138197330,169.568268,-40.999813,153.411728,-0.685120,0.329830,-0.152693,-3.329245,-3.973649,-17.683426
65,2138213997,169.610962,-40.896610,153.711014,-0.641868,-0.162689,0.250866,14.234773,-3.745709,-15.581957
66,2138230664,169.909546,-40.807186,153.965942,-0.917215,0.285128,0.405145,27.823387,-3.333401,-13.464013
67,2138247331,170.256393,-40.725269,154.177597,-1.251623,1.052692,0.503315,29.006563,-3.298568,-11.447353
68,2138263998,170.480026,-40.638729,154.348969,-1.615017,1.261760,0.279478,20.023306,-3.935949,-9.681079
69,2138280665,170.538696,-40.541080,154.477341,-1.300409,1.071977,0.195192,8.436104,-4.945289,-7.858441
70,2138297332,170.504761,-40.442631,154.566788,-0.907213,0.618437,0.030602,1.356724,-5.293685,-6.123600
71,2138313999,170.476593,-40.348160,154.623047,-0.555127,0.416710,0.127136,0.405199,-5.310731,-4.596841
72,2138330666,170.516510,-40.266506,154.643402,-0.455955,0.266162,0.205291,3.092728,-4.825049,-2.851654
73,2138347333,170.627167,-40.203999,154.631195,-0.477191,0.092596,0.288493,6.075262,-3.942051,-1.186969
74,2138364000,170.784439,-40.164402,154.593811,-0.354739,0.177961,0.359609,7.897773,-2.773830,0.181526
75,2138380667,170.923080,-40.148216,154.546677,-0.429857,0.071427,0.140115,6.401632,-1.454930,0.855010
76,2138397334,170.973358,-40.146873,154.490875,-0.461491,-0.014161,0.101280,0.765954,-0.637615,1.388522
77,2138414001,170.877747,-40.151363,154.421219,-0.372133,-0.008536,-0.054042,-8.524740,-0.394807,2.070051
78,2138430668,170.658310,-40.160088,154.346771,-0.326009,0.017303,-0.079789,-16.140614,-0.189304,2.325321
79,2138447335,170.426590,-40.178143,154.277618,-0.381174,-0.027780,0.061290,-16.671654,0.388423,2.175692
80,2138464002,170.271042,-40.206306,154.223206,-0.388160,0.015038,0.065497,-11.536502,1.088444,1.613197
81,2138480669,170.185791,-40.240608,154.181061,-0.301150,0.184110,0.061220,-6.843203,1.539727,1.120908
82,2138497336,170.094131,-40.273472,154.145508,-0.149680,0.582255,-0.033619,-6.974864,1.501897,0.810111
83,2138514003,169.940536,-40.298737,154.105911,-0.009464,0.760533,-0.079906,-10.845291,1.014097,0.915859
84,2138530670,169.735474,-40.314434,154.067108,-0.021628,0.615250,-0.007741,-13.900930,0.447845,0.784947
85,2138547337,169.521713,-40.325470,154.034149,0.026828,0.272028,0.049953,-14.194609,0.212669,0.475878
86,2138564004,169.313583,-40.335915,154.013901,0.166403,-0.024412,-0.046039,-13.363742,0.278429,-0.100773
87,2138580671,169.104233,-40.346943,154.005157,0.188044,-0.122628,-0.239710,-12.990270,0.409605,-0.608328
88,2138597338,168.889908,-40.354664,153.999008,0.224958,-0.064503,-0.397717,-13.187025,0.236431,-0.761914
89,2138614005,168.676636,-40.357552,153.991867,0.058344,-0.025925,-0.435201,-13.164167,-0.055861,-0.771890
90,2138630672,168.484207,-40.358452,153.989273,0.231940,0.061347,-0.318818,-11.734450,-0.132661,-1.000125
91,2138647339,168.305328,-40.363777,153.999268,0.400086,-0.118199,-0.255769,-10.433145,0.245541,-1.510022
92,2138664006,168.141037,-40.374573,154.016266,0.512120,-0.045271,-0.252318,-9.284465,0.634600,-1.755046
93,2138680673,167.992203,-40.388077,154.026703,0.530625,0.164120,-0.263470,-8.612387,0.735731,-1.422952
94,2138697340,167.874283,-40.403404,154.022766,0.295034,0.399103,-0.278683,-7.313886,0.708940,-0.754896
