sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2023-12-12_15:44:41_806 CET
© Movella Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,2137163976,-118.119614,-62.605255,50.374016,-0.053360,-0.588450,0.859915,28.572832,-36.518631,-16.380114
2,2137180643,-118.849815,-62.564854,51.666042,-0.295474,-0.053114,0.699106,27.392412,-33.986816,-14.338980
3,2137197310,-119.635506,-62.531345,52.925953,0.056154,0.108470,0.730667,22.327238,-32.844688,-14.721235
4,2137213977,-120.479713,-62.488007,54.218750,0.333233,0.281662,0.668948,20.543825,-33.749409,-15.131718
5,2137230644,-121.279816,-62.474895,55.504673,0.314446,0.114660,0.703959,22.806675,-32.456226,-17.070093
6,2137247311,-122.018883,-62.506001,56.757423,0.084204,0.067286,0.480764,24.707418,-30.034685,-19.252460
7,2137263978,-122.622139,-62.539124,57.846333,-0.027395,0.068525,0.409833,24.153490,-25.868279,-17.245741
8,2137280645,-123.132660,-62.531952,58.802555,-0.053333,0.355297,0.480235,22.659979,-23.914143,-13.450182
9,2137297312,-123.471336,-62.512665,59.584461,-0.065995,0.151952,0.511656,23.684055,-20.185072,-10.366945
10,2137313979,-123.539246,-62.539650,60.158039,-0.428089,-0.440813,0.196923,28.840050,-13.800506,-9.561256
11,2137330646,-123.464867,-62.619366,60.635120,-0.837284,-0.412198,-0.032486,32.251186,-9.807082,-10.711484
12,2137347313,-123.333435,-62.704975,61.090332,-1.066591,-0.297440,0.064851,34.534172,-9.101761,-10.641847
13,2137363980,-123.222023,-62.757458,61.589947,-0.765451,-0.098478,0.425797,35.717178,-11.210314,-9.620065
14,2137380647,-123.155975,-62.808125,62.128098,-0.202681,-0.041151,0.705152,35.059490,-12.152723,-10.079123
15,2137397314,-123.121361,-62.880684,62.718479,0.436658,0.213677,0.571676,35.980202,-12.615733,-11.934267
16,2137413981,-123.196136,-62.998249,63.428368,0.591987,0.545008,0.318536,35.821186,-13.820825,-15.952108
17,2137430648,-123.251175,-63.160904,64.093719,0.488655,0.641267,0.140668,34.679253,-11.230626,-17.518982
18,2137447315,-123.040749,-63.346363,64.506561,0.238126,0.547008,-0.020151,37.121429,-4.707718,-14.861085
19,2137463982,-122.647629,-63.472080,64.747353,-0.059467,0.647315,-0.049312,38.886707,-2.800906,-9.290151
20,2137480649,-122.177986,-63.503391,64.784554,0.171733,0.676064,0.030452,32.556393,-1.292742,-1.566952
21,2137497316,-121.799461,-63.389198,64.790924,0.118941,-0.118830,0.311216,25.432995,-5.234135,6.272867
22,2137513983,-121.755638,-63.037743,65.212700,-0.377421,-1.679904,0.708556,27.604052,-22.259417,12.468561
