sep=,
DeviceTag:,Dot2_blanc
FirmwareVersion:,2.4.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2023-12-12_15:44:41_796 CET
© Movella Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,2137147309,-137.202576,31.196747,110.407944,-5.676650,1.445492,1.902913,-293.995819,-50.067520,134.698761
2,2137163976,-141.292862,33.186096,109.527931,-5.371905,2.508724,1.168442,-217.828445,-61.392876,112.535217
3,2137180643,-144.375900,35.007103,108.843712,-4.650167,2.935485,0.946081,-162.534851,-66.683884,93.872063
4,2137197310,-146.528595,36.700172,108.345322,-3.774744,1.586161,0.803423,-112.231781,-70.090919,78.354904
5,2137213977,-147.945892,38.267742,108.066460,-3.520392,-0.165235,0.792996,-75.457565,-72.083054,62.855515
6,2137230644,-148.859695,39.721989,107.993683,-3.568718,-1.318346,0.504197,-52.694077,-72.717567,49.411221
7,2137247311,-149.286743,41.060593,108.135094,-3.379159,-2.215358,0.302294,-31.745623,-72.389107,36.550545
8,2137263978,-149.167328,42.293030,108.468094,-2.407743,-2.689286,0.281647,-6.761187,-71.333893,25.836128
9,2137280645,-148.558014,43.440510,108.950012,-1.199765,-2.485500,-0.298763,16.238960,-70.034721,18.295565
10,2137297312,-147.616257,44.492378,109.568321,-0.555540,-2.146724,-0.817227,30.097912,-67.827141,11.538898
11,2137313979,-146.547333,45.442917,110.301659,-0.186516,-1.819142,-1.182700,32.385399,-64.920837,5.705957
12,2137330646,-145.551346,46.280491,111.111656,0.630626,-1.359089,-1.808755,24.229612,-60.707119,0.839834
13,2137347313,-144.654419,47.006195,111.992882,0.638210,-1.067715,-1.286935,14.721839,-56.590736,-4.017426
14,2137363980,-143.655792,47.645500,112.936478,0.564321,-1.476300,-0.186796,17.646576,-53.671349,-7.799131
15,2137380647,-142.449570,48.208290,113.942459,0.904497,-1.478937,0.483068,26.924215,-51.394848,-11.184536
16,2137397314,-141.064423,48.705265,115.013695,1.300993,-1.275335,0.786728,34.363213,-49.894398,-14.178615
17,2137413981,-139.572662,49.148670,116.145035,1.444647,-1.358716,1.669559,37.693272,-49.034473,-16.500385
18,2137430648,-137.988922,49.531673,117.354179,1.200804,-1.269641,2.391575,39.356121,-48.507843,-19.582432
19,2137447315,-136.325516,49.870949,118.638786,1.453331,-0.737055,2.354614,40.386082,-48.890896,-21.883028
20,2137463982,-134.614807,50.181938,119.978241,1.935731,-0.634680,2.213253,40.427437,-49.573040,-22.899771
21,2137480649,-132.833084,50.467747,121.361893,2.379000,-0.925916,2.497062,42.379528,-50.214596,-23.430052
22,2137497316,-131.034988,50.738277,122.764458,3.039452,-1.020020,2.858065,42.233482,-50.635201,-22.816809
23,2137513983,-129.280258,50.997898,124.164742,3.044483,-0.321248,3.002738,39.499550,-50.618732,-21.498457
24,2137530650,-127.565765,51.235073,125.577591,2.506401,0.468830,2.970592,36.274055,-50.578785,-21.144602
25,2137547317,-125.974533,51.444027,126.972725,1.774625,0.640601,2.983748,29.509607,-49.441010,-20.493219
26,2137563984,-124.578529,51.596886,128.332275,1.889292,0.857870,2.393195,19.304951,-46.784565,-21.067093
27,2137580651,-123.419647,51.696007,129.630676,2.529526,0.980092,1.726967,7.850315,-43.457375,-21.348228
28,2137597318,-122.466644,51.771912,130.833664,2.363009,0.607065,1.877980,-0.074905,-40.051189,-19.745609
29,2137613985,-121.596687,51.806427,131.908234,0.928917,0.300863,1.627689,0.959194,-34.970562,-18.664408
30,2137630652,-120.796829,51.757420,132.844162,-0.579805,0.403826,1.152341,3.293711,-28.259029,-19.782984
31,2137647319,-120.180008,51.622772,133.629913,-1.283755,1.120955,0.281733,-0.561360,-21.152159,-21.057909
32,2137663986,-119.802574,51.406445,134.274857,-1.737014,1.644681,-0.757107,-8.223197,-14.441094,-22.542322
33,2137680653,-119.725975,51.111141,134.798462,-1.609686,1.722061,-1.479242,-20.484720,-8.350861,-24.395243
34,2137697320,-119.994171,50.757404,135.218277,-1.534065,1.646215,-1.556371,-36.223476,-3.288847,-25.555956
