sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
StartTime: ,2023-12-12_15:45:17_000 CET
© Movella Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,2172348013,-95.85946655273438,-42.76985168457031,-128.26695251464844,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,2172364680,-95.75676727294922,-42.72108840942383,-128.69308471679688,6.67440938949585,-7.19427347183228,-1.11020886898041,-8.61801910400391,17.11835479736328,5.38785028457642
2,2172381347,-95.89262390136719,-42.69799423217773,-128.84895324707031,6.95928668975830,-7.18119049072266,-0.90982460975647,-11.91714763641357,5.42631578445435,2.65393161773682
3,2172398014,-96.10552215576172,-42.73464965820312,-128.84443664550781,7.35423851013184,-7.23413372039795,-1.30932664871216,-10.01226329803467,-1.23941183090210,-1.62890410423279
4,2172414681,-96.25717163085938,-42.81401062011719,-128.97428894042969,7.39219474792480,-7.02105283737183,-1.43456482887268,-11.81581115722656,4.93407821655273,-3.53570747375488
5,2172431348,-96.32932281494141,-42.84007263183594,-129.18286132812500,7.29153347015381,-6.99940061569214,-1.12673068046570,-10.25637912750244,8.02452087402344,0.03788760304451
6,2172448015,-96.41938018798828,-42.85295104980469,-129.36676025390625,6.99633693695068,-7.29924774169922,-1.34219455718994,-10.32912063598633,6.85590314865112,0.71828937530518
7,2172464682,-96.53818511962891,-42.86022949218750,-129.57919311523438,6.95729446411133,-7.21129274368286,-1.37571203708649,-13.22024917602539,8.06420993804932,1.21183395385742
8,2172481349,-96.72302246093750,-42.78204727172852,-129.70559692382812,6.80824708938599,-7.22150230407715,-1.19280099868774,-13.66542434692383,3.71481180191040,5.89376258850098
9,2172498016,-96.97547149658203,-42.72930526733398,-129.76040649414062,7.02099227905273,-7.15600681304932,-1.33705270290375,-14.79662322998047,0.74674540758133,4.02169036865234
10,2172514683,-97.40190887451172,-42.61708068847656,-129.74838256835938,6.76887369155884,-6.89244699478149,-1.08723437786102,-22.51630973815918,-2.64409399032593,7.20909929275513
11,2172531350,-97.81143188476562,-42.55252456665039,-129.64891052246094,7.02938365936279,-6.94678258895874,-1.26185214519501,-17.95054244995117,-6.13778400421143,3.85472273826599
12,2172548017,-98.20722961425781,-42.54846191406250,-129.47911071777344,7.09210920333862,-7.18609714508057,-1.32247650623322,-14.28219509124756,-8.73578262329102,-0.20587508380413
13,2172564684,-98.63059997558594,-42.56740188598633,-129.20765686035156,7.06259012222290,-7.41982173919678,-1.58266103267670,-11.80480384826660,-12.97315406799316,-2.28077507019043
14,2172581351,-98.92909240722656,-42.60803604125977,-128.94981384277344,6.86027336120605,-7.33276844024658,-2.09052634239197,-4.86437988281250,-12.15555191040039,-3.54774522781372
15,2172598018,-99.04655456542969,-42.67553329467773,-128.83465576171875,6.76831293106079,-7.15303564071655,-2.16978120803833,0.21293765306473,-5.66026687622070,-4.19327402114868
16,2172614685,-99.06784057617188,-42.78691482543945,-128.80082702636719,6.89577388763428,-7.10729265213013,-2.01128911972046,2.68169546127319,-1.69260299205780,-6.23281383514404
17,2172631352,-99.01231384277344,-42.95003890991211,-128.90794372558594,7.13154602050781,-6.76752090454102,-1.57111012935638,1.54050827026367,4.92211580276489,-8.32411766052246
18,2172648019,-98.93461608886719,-43.09669113159180,-129.09460449218750,7.24282789230347,-6.50650072097778,-1.46959960460663,-0.39639508724213,8.19367885589600,-6.80968952178955
19,2172664686,-98.73750305175781,-43.22985458374023,-129.35386657714844,7.33854770660400,-6.65371084213257,-1.74550974369049,3.76421713829041,11.17133712768555,-5.54374313354492
20,2172681353,-98.55881500244141,-43.38773727416992,-129.70947265625000,7.16955232620239,-6.99861431121826,-1.58743965625763,-1.33685600757599,15.50716400146484,-6.41670417785645
21,2172698020,-98.36752319335938,-43.55829620361328,-130.07719421386719,7.24606513977051,-6.95714807510376,-1.72922098636627,-1.11834120750427,16.07731819152832,-7.15132856369019
22,2172714687,-98.13243103027344,-43.69025802612305,-130.49568176269531,7.26148605346680,-6.85785102844238,-1.88334381580353,-0.63919132947922,17.86222457885742,-4.61013793945312
23,2172731354,-97.91680908203125,-43.84971237182617,-130.93353271484375,7.06091451644897,-6.66760444641113,-1.62529933452606,-2.65070080757141,18.85274887084961,-6.20728588104248
24,2172748021,-97.80539703369141,-44.03863525390625,-131.28796386718750,6.94523954391479,-6.81265497207642,-1.57351863384247,-5.49272727966309,15.45528030395508,-8.51035499572754
25,2172764688,-97.85925292968750,-44.27593612670898,-131.58346557617188,6.93335247039795,-7.02475166320801,-1.63833677768707,-12.99954128265381,13.27852153778076,-11.74604129791260
