sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
StartTime: ,2023-12-12_15:45:17_000 CET
© Movella Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,2172348013,5.86964797973633,-3.04807686805725,-132.80805969238281,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,2172364680,6.02027654647827,-3.08970141410828,-133.36499023437500,-0.02579531073570,0.71706521511078,10.18977546691895,5.82294416427612,-5.87117910385132,-33.51348114013672
2,2172381347,6.17081212997437,-3.13046884536743,-133.91572570800781,0.03098270110786,0.83346086740494,10.13137722015381,5.81337594985962,-5.86864233016968,-33.13179397583008
3,2172398014,6.31253767013550,-3.16916561126709,-134.46008300781250,0.09160421788692,0.94280475378036,10.14504432678223,5.28383779525757,-5.78854417800903,-32.75194549560547
4,2172414681,6.44035911560059,-3.20556879043579,-134.99961853027344,0.17186616361141,1.01947188377380,10.09819602966309,4.44350051879883,-5.69679784774780,-32.46191406250000
5,2172431348,6.54925823211670,-3.24146652221680,-135.53315734863281,0.24798028171062,1.08245575428009,10.07721614837646,3.30795645713806,-5.69326972961426,-32.09614181518555
6,2172448015,6.63125038146973,-3.27447700500488,-136.05924987792969,0.19189472496510,1.11541271209717,10.07170009613037,1.69984412193298,-5.52399396896362,-31.66534423828125
7,2172464682,6.68400144577026,-3.30597519874573,-136.58039855957031,0.17706774175167,1.11502826213837,10.05479717254639,-0.05616244673729,-5.43661594390869,-31.37095069885254
8,2172481349,6.70740222930908,-3.33615374565125,-137.09915161132812,0.23650719225407,1.10554432868958,10.09275245666504,-1.82571792602539,-5.36334371566772,-31.23345184326172
9,2172498016,6.69878053665161,-3.36344385147095,-137.61384582519531,0.22319789230824,1.08770442008972,10.06742572784424,-3.74952673912048,-5.16825675964355,-31.01074028015137
10,2172514683,6.65606260299683,-3.38848590850830,-138.12573242187500,0.14142382144928,1.06490230560303,10.07090377807617,-5.79923534393311,-5.00180673599243,-30.86076164245605
11,2172531350,6.58491039276123,-3.41204810142517,-138.63478088378906,0.17486447095871,1.03165471553802,10.03936195373535,-7.50879335403442,-4.86593723297119,-30.70728111267090
12,2172548017,6.48534536361694,-3.43247675895691,-139.13980102539062,0.27986565232277,0.98176258802414,10.02557754516602,-9.21026325225830,-4.60737609863281,-30.49210929870605
13,2172564684,6.36181497573853,-3.45258140563965,-139.63897705078125,0.36761885881424,0.91115224361420,10.05438709259033,-10.63731956481934,-4.49241352081299,-30.15832519531250
14,2172581351,6.21858644485474,-3.47176814079285,-140.13345336914062,0.36324378848076,0.85690164566040,10.01736259460449,-11.81310558319092,-4.33817958831787,-29.89043426513672
15,2172598018,6.05882787704468,-3.48901700973511,-140.62205505371094,0.31345644593239,0.74390560388565,10.02266979217529,-12.79201602935791,-4.10839414596558,-29.56556701660156
16,2172614685,5.88651704788208,-3.50334024429321,-141.10789489746094,0.33995449542999,0.68917137384415,10.02735042572021,-13.54238128662109,-3.83323621749878,-29.43230247497559
17,2172631352,5.70354652404785,-3.51488876342773,-141.58848571777344,0.41013613343239,0.63298952579498,10.00386714935303,-14.16880607604980,-3.54801225662231,-29.14703750610352
18,2172648019,5.51272392272949,-3.52572059631348,-142.06604003906250,0.36074969172478,0.62458109855652,10.00416278839111,-14.63363265991211,-3.39412450790405,-28.97950172424316
19,2172664686,5.31448173522949,-3.53650283813477,-142.53703308105469,0.30547007918358,0.58897823095322,10.03411483764648,-15.05817890167236,-3.25813341140747,-28.59951019287109
20,2172681353,5.11195802688599,-3.54445838928223,-143.00263977050781,0.32221806049347,0.54277783632278,9.99344635009766,-15.29944992065430,-2.96380329132080,-28.30652046203613
21,2172698020,4.90467548370361,-3.55035424232483,-143.46461486816406,0.33474770188332,0.49444583058357,10.01729393005371,-15.57376003265381,-2.72313284873962,-28.11473274230957
22,2172714687,4.69389295578003,-3.55500769615173,-143.92401123046875,0.26154804229736,0.47321343421936,9.98809719085693,-15.77523231506348,-2.53617238998413,-27.97059631347656
23,2172731354,4.48302650451660,-3.55710816383362,-144.37905883789062,0.25667902827263,0.41464474797249,9.98687267303467,-15.76571559906006,-2.26308846473694,-27.73341941833496
24,2172748021,4.27023124694824,-3.55508542060852,-144.83125305175781,0.28230333328247,0.37500026822090,9.96204280853271,-15.87020301818848,-1.90384328365326,-27.59072875976562
25,2172764688,4.05448579788208,-3.55025386810303,-145.28057861328125,0.29609367251396,0.36577010154724,9.96554088592529,-16.03333282470703,-1.62343490123749,-27.43878746032715
26,2172781355,3.83628511428833,-3.54125905036926,-145.72708129882812,0.26071330904961,0.35197228193283,9.98035907745361,-16.16641426086426,-1.26253747940063,-27.29684829711914
27,2172798022,3.61441278457642,-3.52821660041809,-146.17074584960938,0.25238877534866,0.32402378320694,9.99272632598877,-16.36934852600098,-0.90733963251114,-27.14405059814453
28,2172814689,3.38986444473267,-3.51068067550659,-146.61322021484375,0.28067651391029,0.29107922315598,9.99967861175537,-16.51885986328125,-0.53106194734573,-27.09326553344727
29,2172831356,3.16195440292358,-3.48907613754272,-147.05313110351562,0.29940146207809,0.25734168291092,10.03363323211670,-16.70054626464844,-0.17527474462986,-26.95687103271484
30,2172848023,2.93428206443787,-3.46492528915405,-147.49038696289062,0.25157880783081,0.20141978561878,10.01997756958008,-16.66545295715332,0.08965756744146,-26.80743980407715
