sep=,
DeviceTag:,Dot2_blanc
FirmwareVersion:,2.4.0
AppVersion:,2023.6.0
StartTime: ,2023-12-12_15:45:17_000 CET
© Movella Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,2172364680,-55.16263198852539,-12.79409313201904,9.47287273406982,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,2172381347,-55.31283187866211,-12.17365074157715,9.56429576873779,1.11452186107635,-5.88359451293945,5.10758066177368,-8.46209621429443,16.73308753967285,34.34717941284180
2,2172398014,-55.67009353637695,-11.46792221069336,9.63311386108398,1.40508997440338,-5.62639570236206,5.25875186920166,-21.23184585571289,20.56490516662598,37.88901901245117
3,2172414681,-56.24519729614258,-10.68614673614502,9.68419265747070,1.72935664653778,-5.84180355072021,5.11026477813721,-34.56855773925781,23.67000770568848,41.25864410400391
4,2172431348,-56.95818328857422,-9.84239196777344,9.72996330261230,1.67884027957916,-6.19156551361084,4.92076539993286,-42.94636917114258,25.51513099670410,44.46120834350586
5,2172448015,-57.76503372192383,-8.93047523498535,9.77549839019775,1.38095974922180,-5.83364486694336,4.61984920501709,-48.62830734252930,27.14697837829590,48.23616409301758
6,2172464682,-58.70086669921875,-7.94406652450562,9.82415962219238,0.95056539773941,-5.16012763977051,4.93389654159546,-56.38987731933594,28.61455535888672,52.54638671875000
7,2172481349,-59.76804733276367,-6.87474966049194,9.88641834259033,0.47473570704460,-5.60682106018066,5.15909814834595,-64.22682189941406,29.54490280151367,57.73294830322266
8,2172498016,-60.85099029541016,-5.74052476882935,9.96456623077393,0.06392060220242,-6.60124826431274,5.02755689620972,-65.15012359619141,29.57053184509277,62.12975692749023
9,2172514683,-61.76095581054688,-4.55630064010620,10.05479145050049,-0.05508024618030,-7.13403558731079,4.43119382858276,-54.81092071533203,29.29392433166504,65.61273956298828
10,2172531350,-62.38044738769531,-3.31868338584900,10.15806484222412,-0.06952743977308,-7.04993247985840,3.95303440093994,-37.44727706909180,29.22552871704102,69.19384765625000
11,2172548017,-62.77499389648438,-2.01699948310852,10.26047801971436,-0.34797590970993,-6.87179851531982,3.72327566146851,-24.09104728698730,30.42915534973145,72.83512878417969
12,2172564684,-63.21801757812500,-0.66510248184204,10.33059883117676,-0.94682472944260,-6.75575733184814,4.28532791137695,-27.18798065185547,32.99026107788086,74.85706329345703
13,2172581351,-63.94332504272461,0.73701906204224,10.37098026275635,-1.21093642711639,-6.61461210250854,5.57014179229736,-44.22866439819336,35.16950225830078,77.08744049072266
14,2172598018,-65.08046722412109,2.17711210250854,10.38712978363037,-1.22879672050476,-6.84672880172729,6.36170673370361,-68.97560119628906,36.21956634521484,79.07041931152344
15,2172614685,-66.58551025390625,3.64210319519043,10.39448547363281,-1.34946215152740,-7.17120027542114,6.87124824523926,-91.06706237792969,35.49628448486328,81.02533721923828
16,2172631352,-68.42490386962891,5.12892913818359,10.40608501434326,-1.14589250087738,-7.51977682113647,7.55176973342896,-111.18309783935547,33.41164779663086,83.32756805419922
17,2172648019,-70.48058319091797,6.62421941757202,10.46110057830811,-1.90717029571533,-8.77591991424561,7.51610708236694,-124.47476196289062,28.34892845153809,85.79795837402344
18,2172664686,-72.45029449462891,8.10252285003662,10.56252956390381,-2.65999770164490,-10.77268791198730,6.39928054809570,-119.78854370117188,22.41861152648926,86.64092254638672
19,2172681353,-74.17731475830078,9.55107402801514,10.70552253723145,-3.47317647933960,-12.42659091949463,4.66701221466064,-105.78659820556641,16.79096603393555,86.30234527587891
20,2172698020,-75.55789947509766,10.94922065734863,10.86059188842773,-4.29117298126221,-13.56470298767090,2.71199655532837,-85.34366607666016,13.01923465728760,83.97364044189453
21,2172714687,-76.67320251464844,12.28584003448486,10.98073291778564,-4.68738555908203,-13.33874702453613,0.37791156768799,-69.21526336669922,12.35462093353271,80.13799285888672
22,2172731354,-76.89588165283203,13.53853797912598,11.10960674285889,-5.40533065795898,-16.94304656982422,0.45116406679153,-15.91190242767334,9.81307506561279,75.46769714355469
23,2172748021,-74.65872955322266,14.64825439453125,11.41949367523193,-5.34218883514404,-17.99664497375488,3.02683854103088,128.90090942382812,-1.16325652599335,69.53867340087891
24,2172764688,-70.93973541259766,15.60621547698975,11.86207675933838,-5.30281257629395,-14.59182357788086,3.73042201995850,215.41654968261719,-7.54695796966553,63.05582046508789
25,2172781355,-67.30348968505859,16.33639907836914,12.33362388610840,-4.54499006271362,-12.52850055694580,6.66676425933838,209.60658264160156,-9.86678409576416,51.18622207641602
26,2172798022,-64.97572326660156,16.90779495239258,12.74092578887939,-3.66876912117004,-11.80265617370605,7.38997602462769,131.88319396972656,-7.60778570175171,41.37093734741211
27,2172814689,-64.11647796630859,17.32470321655273,13.03667545318604,-2.69309234619141,-11.50535106658936,5.43970346450806,45.52733612060547,-4.62499189376831,30.42310142517090
28,2172831356,-64.31208801269531,17.57883071899414,13.23117065429688,-2.10841155052185,-11.54100418090820,4.05700731277466,-16.03886604309082,-3.44876337051392,19.12977981567383
29,2172848023,-64.92638397216797,17.71670532226562,13.38241100311279,-2.32744956016541,-11.78894901275635,3.62264132499695,-40.39682769775391,-4.31893634796143,11.75406074523926
