sep=,
DeviceTag:,Dot6_blanc
FirmwareVersion:,2.4.0
AppVersion:,2023.6.0
StartTime: ,2023-12-12_15:45:17_000 CET
© Movella Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,2172364680,102.39503479003906,16.56803894042969,15.51949501037598,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,2172381347,102.63989257812500,15.94376182556152,15.64364719390869,-1.42398118972778,11.07045555114746,-1.30749785900116,13.21744060516357,13.78756999969482,34.27230834960938
2,2172398014,103.10335540771484,15.26179790496826,15.74598503112793,-1.79962944984436,10.88151359558105,-1.39441549777985,26.77340316772461,13.56404590606689,37.81533432006836
3,2172414681,103.79621124267578,14.51433467864990,15.83782100677490,-2.24439382553101,10.61899852752686,-1.92075014114380,40.78001785278320,14.29140090942383,41.61306381225586
4,2172431348,104.62834167480469,13.70641613006592,15.93067169189453,-2.33458662033081,10.44998264312744,-2.40550780296326,49.19836044311523,15.81721591949463,44.89394760131836
5,2172448015,105.54832458496094,12.84212493896484,16.02677345275879,-2.11104083061218,10.20128822326660,-2.60362219810486,54.50481414794922,17.59434890747070,47.83645629882812
6,2172464682,106.59290313720703,11.91260337829590,16.12513732910156,-1.72557604312897,10.26793003082275,-2.45376634597778,62.03763961791992,19.65017700195312,51.22122573852539
7,2172481349,107.77179718017578,10.91563129425049,16.22221946716309,-1.44414889812469,10.67087173461914,-2.64688992500305,70.21287536621094,21.79245567321777,54.68386077880859
8,2172498016,108.94215393066406,9.84903430938721,16.32276916503906,-1.23622488975525,11.27237796783447,-2.59495639801025,69.76879119873047,24.45362854003906,58.08624649047852
9,2172514683,109.92091369628906,8.70811653137207,16.41949844360352,-1.30579841136932,11.32656097412109,-2.40795874595642,58.43261718750000,26.83161354064941,61.86172866821289
10,2172531350,110.59963226318359,7.49407339096069,16.50374221801758,-1.36785650253296,11.02668476104736,-2.33173298835754,40.66652297973633,28.56924247741699,65.81184387207031
11,2172548017,111.06798553466797,6.22089958190918,16.58083343505859,-1.20914077758789,10.28254413604736,-2.53050804138184,28.21577835083008,30.10939407348633,68.97078704833984
12,2172564684,111.59390258789062,4.89730691909790,16.64226531982422,-0.82354074716568,9.97897148132324,-2.44016456604004,31.87385368347168,30.94752311706543,71.85123443603516
13,2172581351,112.41020202636719,3.54831624031067,16.67695236206055,-0.70535647869110,9.80911350250244,-2.35491180419922,49.50965118408203,30.88399505615234,73.47854614257812
14,2172598018,113.63331604003906,2.18412470817566,16.69943237304688,-0.83810788393021,9.86238193511963,-2.59319519996643,74.01226043701172,31.88184547424316,74.02165222167969
15,2172614685,115.21920013427734,0.81071203947067,16.72870063781738,-0.81692165136337,9.96032238006592,-2.93576478958130,95.80825042724609,34.29924774169922,73.52554321289062
16,2172631352,117.12800598144531,-0.56060957908630,16.78668594360352,-1.15995025634766,9.81715011596680,-3.39401102066040,115.22943115234375,38.03789138793945,71.53967285156250
17,2172648019,119.24955749511719,-1.92632663249969,16.88148880004883,-0.53770184516907,10.26916503906250,-3.78954195976257,128.13294982910156,42.33999252319336,68.78224945068359
18,2172664686,121.27668762207031,-3.29017162322998,17.01877593994141,0.05695106089115,10.60741043090820,-4.36275815963745,122.73043060302734,46.96603775024414,65.78610992431641
19,2172681353,123.05918121337891,-4.63322019577026,17.18007469177246,0.78877675533295,10.51597976684570,-4.89044141769409,108.35556793212891,49.68861389160156,62.33395385742188
20,2172698020,124.49943542480469,-5.95300769805908,17.33667755126953,1.64957642555237,10.39212226867676,-4.96062994003296,88.03031158447266,50.41414260864258,59.88213348388672
21,2172714687,125.67926788330078,-7.24213743209839,17.44309425354004,2.20908880233765,9.57602787017822,-4.97660112380981,72.28128051757812,48.25078964233398,58.91450881958008
22,2172731354,126.03050231933594,-8.53104782104492,17.46946525573730,2.86742162704468,12.25700855255127,-3.60388445854187,22.06065750122070,45.15209197998047,61.03116989135742
23,2172748021,123.93931579589844,-9.83081531524658,17.49313735961914,2.79880738258362,10.66785621643066,-3.63431358337402,-124.43711090087891,44.43645858764648,62.36111068725586
24,2172764688,120.41870880126953,-11.02335548400879,17.57678222656250,2.99018716812134,4.83819293975830,-5.09421014785767,-209.49757385253906,40.84484100341797,57.20570755004883
25,2172781355,117.01030731201172,-12.06179618835449,17.75874137878418,2.43107318878174,1.07145214080811,-5.47194528579712,-201.50790405273438,37.86871337890625,48.76204299926758
26,2172798022,114.84124755859375,-12.77968502044678,18.03394317626953,1.77636003494263,-0.20703038573265,-4.59265470504761,-125.82421875000000,31.87280464172363,30.92584037780762
27,2172814689,114.03330993652344,-13.21196460723877,18.31380653381348,1.15170824527740,1.25049734115601,-3.06572508811951,-43.96682739257812,24.17492294311523,16.06426239013672
28,2172831356,114.20527648925781,-13.45464515686035,18.53141593933105,0.84731793403625,3.70328712463379,-2.44874429702759,14.03978061676025,16.09597015380859,7.31520462036133
29,2172848023,114.75989532470703,-13.55301380157471,18.67989730834961,1.31081843376160,5.79326343536377,-2.68629860877991,36.06122207641602,8.88342952728271,0.99936747550964
30,2172864690,115.19245147705078,-13.55996131896973,18.80810165405273,1.80396986007690,6.92822122573853,-3.34010529518127,28.45767593383789,5.50787401199341,-3.55737781524658
